b_lam,b_xw,sc_s_key,sc_lam_key,C,power,r_squared
0.1,0.01,,no,2.4885976858218966,0.0,0.0
0.1,0.01,,D,1.8539313411825051,0.13343805629980346,0.9974791865144851
0.1,0.01,,mixed,0.8172095894905302,0.4420477389749492,0.9692427969090248
0.1,0.01,,beta,0.7073795633686593,0.3059635899802967,0.17255494221648848
0.1,0.01,x,no,2.2333847135937526,0.007178947683636055,0.9471374768779656
0.1,0.01,x,D,1.02323369427149,0.3626280151346736,0.9988240605455596
0.1,0.01,x,mixed,0.32576355476219726,0.828311981246362,0.9982122998550714
0.1,0.01,x,beta,0.08444525219099508,1.374514758149081,0.9200088770671389
0.1,0.01,w,no,0.3803589079890911,0.11562648124312894,0.7858808859751071
0.1,0.01,w,D,1.1472165815740103,-0.5055744233894566,0.6519509232380256
0.1,0.01,w,mixed,1.2121602547368713,-0.5429518273164023,0.6939169995187566
0.1,0.01,w,beta,1.2301086888413193,-0.5384432212964034,0.6798988223736204
0.1,0.01,xw,no,0.06690004353164747,0.9965292080398417,0.9999990093629337
0.1,0.01,xw,D,0.06622909676579311,1.0,1.0
0.1,0.01,xw,mixed,0.007295599248107255,1.9542249545438244,0.9984813016550786
0.1,0.01,xw,beta,0.0035568373503518614,2.1478186152748395,0.9490102536017662
0.1,0.035,,no,2.4885976858218966,0.0,0.0
0.1,0.035,,D,1.8539313411825051,0.13343805629980346,0.9974791865144851
0.1,0.035,,mixed,0.8172095894905302,0.4420477389749492,0.9692427969090248
0.1,0.035,,beta,0.7073795633686593,0.3059635899802967,0.17255494221648848
0.1,0.035,x,no,2.1987107237807066,0.03578309682629985,0.9298368550663707
0.1,0.035,x,D,1.0875797243481777,0.3673388142001435,0.9985555410234391
0.1,0.035,x,mixed,0.35662875288573104,0.8250087511664518,0.9974319610133929
0.1,0.035,x,beta,0.10031754765641807,1.3272326342087584,0.9007664169333535
0.1,0.035,w,no,0.25508448606799683,0.9661075176483542,0.9973640283013305
0.1,0.035,w,D,0.5971638681441086,0.5246382133652842,0.9671195552506049
0.1,0.035,w,mixed,0.40187499640099505,0.5317377976319545,0.33166405108173813
0.1,0.035,w,beta,0.7852505574353472,-0.009585290886050259,0.0002251562280115582
0.1,0.035,xw,no,0.24057045278203712,0.9674003860002639,0.9999341333368272
0.1,0.035,xw,D,0.2202794255479216,0.9999999999999999,1.0
0.1,0.035,xw,mixed,0.029183344896525673,1.8955403602285879,0.9985391182299231
0.1,0.035,xw,beta,0.01041190830935173,2.2621467876250074,0.9509565121351732
0.1,0.060000000000000005,,no,2.4885976858218966,0.0,0.0
0.1,0.060000000000000005,,D,1.8539313411825051,0.13343805629980346,0.9974791865144851
0.1,0.060000000000000005,,mixed,0.8172095894905302,0.4420477389749492,0.9692427969090248
0.1,0.060000000000000005,,beta,0.7073795633686593,0.3059635899802967,0.17255494221648848
0.1,0.060000000000000005,x,no,2.1424813038388884,0.07751833658457281,0.9246036187601794
0.1,0.060000000000000005,x,D,1.1414738614233795,0.3885527714422805,0.998711455722269
0.1,0.060000000000000005,x,mixed,0.3824296070378343,0.8444361786134107,0.9952733097438495
0.1,0.060000000000000005,x,beta,0.11032735436810075,1.3257596912077856,0.873592387795055
0.1,0.060000000000000005,w,no,0.4949377805918643,0.8511742961341381,0.9972215043095374
0.1,0.060000000000000005,w,D,0.7252101765768012,0.6263454220639577,0.9875143735594375
0.1,0.060000000000000005,w,mixed,0.24905853259865846,1.058071910387934,0.8184017663823524
0.1,0.060000000000000005,w,beta,0.26945839920424525,0.84819232029337,0.4371883060197832
0.1,0.060000000000000005,xw,no,0.4220607158881493,0.9350744108662207,0.999836013818719
