Sample name,HCR,"Animal size, cm","Regeneration time, dpa","Exact animal size (snout to tail), cm","Blastema size, um","x0(Shh), um","x0(Fgf8), um","Volume^1/3(Shh), um","Volume^1/3(Fgf8), um","Volume^1/3(Dusp), um"
hcr11_lb27_fl,11,development,development,1.5,284,42,66,56.0823618,96.26403011,96.36722772
hcr11_lb28_fl,11,development,development,1.5,300,52,88,50.52356512,118.3669511,76.70262543
hcr15_lb41_fl,15,development,development,1.5,250,28,64,52.05319999,102.6005834,143.5035631
hcr16_lb44_fl,16,development,development,1.5,240,50,70,57.34012299,118.2356681,114.0303602
hcr16_lb45_fl,16,development,development,1.5,256,48,74,51.70044733,101.7280981,125.5714
hcr17_lb50_dd_fl_hoe,17,development,development,1.5,306,52,84,53.42601939,124.4236291,154.1635413
hcr17_lb50_dd_fr_hoe,17,development,development,1.5,308,54,88,56.15264477,107.6428532,153.3947118
hcr17_lb49_dd_fl_dapi,17,development,development,1.5,292,60,64,56.91029287,111.8950974,153.3638797
hcr20_lb58_fr,20,development,development,1.5,244,32,82,61.94236753,127.4123452,162.7524817
hcr21_lb68_fr,21,development,development,1.5,252,46,76,52.72840772,69.90517773,107.3976527
hcr22_lb72_fl,22,development,development,1.5,228,52,68,52.88809902,72.90022022,115.1237986
hcr22_lb73_fr,22,development,development,1.5,204,42,66,53.39704192,79.20504338,113.2032263
hcr22_lb72_fr,22,development,development,1.5,220,42,68,50.55697259,72.12427098,105.4956461
hcr22_lb70_fl,22,development,development,1.5,244,40,70,55.05383159,70.72178367,125.0198582
hcr22_lb74_fl,22,development,development,1.5,218,34,64,61.36288221,76.5727731,119.874684
hcr22_lb74_fr,22,development,development,1.5,222,44,60,49.84485242,63.36481045,108.4362782
hcr22_lb71_fr,22,development,development,1.5,226,46,70,40.06987786,62.93753782,96.96140456
hcr23_lb79_fl,23,development,development,1.5,214,36,58,51.65951109,76.84558925,
hcr23_lb76_fr,23,development,development,1.5,232,28,54,52.26394399,57.56230172,
hcr23_lb79_fr,23,development,development,1.5,210,34,56,53.33711779,65.90436102,
hcr23_lb80_fr,23,development,development,1.5,202,36,62,49.65090161,69.05114181,
hcr23_lb76_fl,23,development,development,1.5,216,48,52,46.09432441,62.99538053,
hcr23_lb80_fl,23,development,development,1.5,212,32,62,48.68350786,71.29507561,
hcr22_2_5cm_4d_t1b,22,2.93,4,3.2,484,140,164,91.45678631,101.4661328,148.5879944
hcr22_2_5cm_4d_t1a,22,2.93,4,3.2,446,96,160,92.61590535,118.1188117,161.1794098
hcr21_2_5cm_5dpa_p_hist,21,2.93,5,2.9,516,112,200,93.26451844,136.5223568,201.885829
hcr22_2_5cm_5d_t2a,22,2.93,5,2.9,546,124,120,105.7697625,129.2344753,
hcr21_2_5cm_6dpa_noif,21,2.93,6,2.7,730,184,176,126.1890167,132.9836225,234.9628914
hcr21_2_5cm_6dpa_p_hist,21,2.93,6,2.7,686,162,158,108.4711923,106.2337313,267.0598228
hcr21_2_5cm_7dpa_noif,21,2.93,7,2.9,814,146,228,118.6403945,138.9734435,
hcr23_5cm_an14070_6d_fl,23,5.30,6,4.9,612,120,230,88.92718026,130.0399089,
hcr23_5cm_an14066_6d_fr,23,5.30,6,6.1,662,96,238,84.43238876,144.0966429,
hcr23_5cm_an14072_7d_fl,23,5.30,7,5.4,730,128,208,119.9851834,170.571823,
hcr11_5cmbl_8d,11,5.30,8,4.5,736,168,214,146.0581491,126.4043448,
hcr21_5cm_8dpa_p_hist,21,5.30,8,5.6,862,144,354,102.7364361,141.9478748,267.6993361
hcr22_5cm_8d_t4b,22,5.30,8,5.7,798,160,382,118.6489193,210.9410226,261.2781248
hcr22_5cm_8d_t4a,22,5.30,8,5.7,844,190,380,139.0998024,215.0456871,393.6102892
hcr21_5cm_9dpa_noif,21,5.30,9,5.5,980,250,184,141.121067,162.8737025,229.1374371
hcr11_5cmbl_10d,11,5.30,10,4.5,968,234,230,148.6732174,107.0676487,
hcr21_5cm_10dpa_noif,21,5.30,10,5.1,866,126,254,90.08880124,175.9344625,
hcr17_7cm_8dpa_hoechst,17,7.24,8,6.8,864,250,300,47.27379054,169.9264272,270.8739854
hcr17_7cm_8dpa_dapi,17,7.24,8,6.8,932,252,238,62.83571879,172.6300133,159.3915432
hcr17_7cm_9dpa_hoechst,17,7.24,9,7.1,1122,150,376,112.0715954,164.5654682,255.3993895
hcr17_7cm_9dpa_dapi,17,7.24,9,7.1,1146,238,276,119.5990321,166.2122412,288.2194829
hcr21_7cm_10dpa_noif_17,21,7.24,10,7.5,1398,308,378,202.8291897,175.1567792,193.4429765
hcr21_7cm_10dpa_noif_16,21,7.24,10,7.5,1282,248,352,160.7867501,194.1909057,
hcr22_7cm_10d_t3a,22,7.24,10,8,1298,278,280,183.7263576,153.157029,345.1786458
hcr21_7cm_12dpa_noif,21,7.24,12,7.1,1392,290,430,176.0814877,108.3388989,461.6455994
